Rk,Player,OPS+,PA,Season,Age,Team,Lg,G,PA_1,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+_2,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
166,Frank Thomas,180,701,1991,23,CHW,AL,158,701,559,104,178,113,31,2,32,109,1,2,138,112,0.318,0.453,0.553,1.006,180,309,20,1,0,2,13,D3/H,thomafr04
167,Al Rosen,180,688,1953,29,CLE,AL,155,688,599,115,201,126,27,5,43,145,8,7,85,48,0.336,0.422,0.613,1.034,180,367,19,4,0,,4,*5/36H,rosenal01
168,Mickey Mantle,180,638,1955,23,NYY,AL,147,638,517,121,158,85,25,11,37,99,8,1,113,97,0.306,0.431,0.611,1.042,180,316,4,3,2,3,6,*8/H6,mantlmi01
169,Cupid Childs,180,571,1890,22,SYR,AA,126,571,493,109,170,121,33,14,2,89,56,,72,,0.345,0.434,0.481,0.915,180,237,,6,,,,*4/6,childcu01
170,Rocky Colavito,180,578,1958,24,CLE,AL,143,578,489,80,148,78,26,3,41,113,0,2,84,89,0.303,0.405,0.62,1.024,180,303,16,2,0,3,6,*93/H17,colavro01
171,Miguel Cabrera,179,688,2011,28,DET,AL,161,688,572,111,197,119,48,0,30,105,2,1,108,89,0.344,0.448,0.586,1.033,179,335,24,3,0,5,22,*3/DH,cabremi01
172,Dan Brouthers,179,597,1891,33,BOS,AA,130,597,486,117,170,120,26,19,5,109,31,,87,20,0.35,0.471,0.512,0.983,179,249,,24,,,,*3,broutda01
173,Christian Yelich,179,580,2019,27,MIL,NL,130,580,489,100,161,85,29,3,44,97,30,2,80,118,0.329,0.429,0.671,1.1,179,328,8,8,0,3,16,*9/7HD8,yelicch01
174,Henry Aaron,179,714,1963,29,MLN,NL,161,714,631,121,201,124,29,4,44,130,31,5,78,94,0.319,0.391,0.586,0.977,179,370,11,0,0,5,18,*9,aaronha01
175,Mike Trout,179,716,2013,21,LAA,AL,157,716,589,109,190,115,39,9,27,97,33,7,110,136,0.323,0.432,0.557,0.988,179,328,8,9,0,8,10,*87/D,troutmi01
176,Harry Lumley,179,554,1906,25,BRO,NL,133,554,484,72,157,113,23,12,9,61,35,,48,74,0.324,0.386,0.477,0.864,179,231,,1,21,,,*9/H,lumleha01
177,Bryce Harper,179,599,2021,28,PHI,NL,141,599,488,101,151,73,42,1,35,84,13,3,100,134,0.309,0.429,0.615,1.044,179,300,12,5,2,4,14,*9/D3,harpebr03
178,George Brett,179,665,1985,32,KCR,AL,155,665,550,108,184,111,38,5,30,112,9,1,103,49,0.335,0.436,0.585,1.022,179,322,12,3,0,9,31,*5/HD,brettge01
179,Frank Thomas,179,647,1995,27,CHW,AL,145,647,493,102,152,85,27,0,40,111,3,2,136,74,0.308,0.454,0.606,1.061,179,299,14,6,0,12,29,3D/H,thomafr04
180,Ted Williams,179,517,1958,39,BOS,AL,129,517,411,81,135,84,23,2,26,85,1,0,98,49,0.328,0.458,0.584,1.042,179,240,19,4,0,4,12,*7H,willite01
181,Ty Cobb,179,637,1916,29,DET,AL,145,637,543,113,201,155,31,10,5,68,68,24,78,39,0.37,0.451,0.492,0.943,179,267,,2,14,,,*8/37H,cobbty01
